SMILES,pIC50
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2F)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(OS(=O)(=O)c3ccccc3F)cc2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(N3CCN(C)CC3)cc2)cc1Cc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(NC(=O)Nc3ccc(F)cc3)cc2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(C#N)cc2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2cc(Br)c(CN3CCN(C)CC3)c(Br)c2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(CN3CCOCC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(Cl)c2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cnccc2C)cs1,4
Cc1ccc(NC(=O)c2ccc(CNC(=O)Nc3ccc(C(F)(F)F)cc3)cc2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2cc(Br)c(CNCCCN3CCOCC3)c(Br)c2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccc(F)c2)cs1,4
Cc1ccc(Nc2ncc(-c3ccccc3)o2)cc1Nc1ncc(-c2ccncc2)o1,4
CC(=O)Nc1ccc(C)c(Nc2ncc(-c3cccnc3)o2)c1,4
Cc1ccc(NC(=O)CC#N)cc1Nc1ncc(-c2ccncc2)o1,4
CCOCC(=O)Nc1ccc(C)c(Nc2ncc(-c3cccnc3)o2)c1,4
COCCC(=O)Nc1ccc(C)c(Nc2ncc(-c3cccnc3)o2)c1,4
Cc1ccc(NC(=O)Nc2ccc(C#N)cc2)cc1Nc1ncc(-c2cccnc2)o1,4
Cc1ccc(NC(=O)Nc2ccc(F)cc2)cc1Nc1ncc(-c2cccnc2)o1,4
Cc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1Nc1ncc(-c2cccnc2)o1,4
Cc1ccc(NC(=S)Nc2ccc(C#N)cc2)cc1Nc1ncc(-c2cccnc2)o1,4
CCOC(=O)Cc1cnc(Nc2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2C)o1,4
Cc1ccc(NC(=S)NCc2ccccc2)cc1Nc1ncc(-c2ccncc2)o1,4
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1ncc(-c2cccnc2)o1,4
Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1Nc1ncc(-c2cccnc2)o1,4
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1ncc(-c2ccccn2)o1,4
Cc1ccc(NC(=O)c2cnoc2C)cc1Nc1ncc(-c2ccncc2)o1,4
Cc1ccc(NC(=O)c2ccc(C#N)cc2)cc1Nc1ncc(-c2ccncc2)o1,4
Cc1ccc(NC(=O)c2ccncc2)cc1Nc1ncc(-c2cccnc2)o1,4
COc1ccc(NC(=O)Cc2ccc(F)cc2)cc1Nc1ncc(-c2ccncc2)o1,4
Cc1ccc(NC(=O)Cc2cccc(Br)c2)cc1Nc1ncc(-c2ccccn2)o1,4
Cc1ccc(NC(=O)Cc2ccc(F)cc2F)cc1Nc1ncc(-c2ccc(C#N)cc2)o1,4
Cc1ccc(NC(=O)Cc2c(Cl)cccc2Cl)cc1Nc1ncc(-c2ccncc2)o1,4
Cc1ccc(NC(=O)CCN2CCCC2)cc1Nc1ncc(-c2cccnc2)o1,4
Cc1ccc(C(=O)Nc2ccc(C#N)cc2)cc1Nc1ncc(-c2cccnc2)o1,4
Cc1ccc(C(=O)Nc2cccc(N(C)C)c2)cc1Nc1ncc(-c2ccncc2)o1,4
Cc1ccc(NC(=O)c2ccc(C)c(Nc3ncc(-c4ccncc4)o3)c2)cc1F,4
Cc1ccc(C(=O)Nc2cccc(Cl)c2)cc1Nc1ncc(-c2cccnc2)o1,4
Cc1ccc(C(=O)N2CCNCC2)cc1Nc1ncc(-c2ccncc2)o1,4
Cc1ccc(NC(=O)Nc2ccc(C)c(Nc3ncc(-c4cccnc4)o3)c2)cc1,4
Cc1ccc(NC(=O)N(C(=O)NC2CCCCC2)C2CCCCC2)cc1Nc1nc(-c2cccnc2)cs1,4
Cc1ccc(NC(=O)Nc2ccccc2I)cc1Nc1nc(-c2cccnc2)cs1,4
CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,5.348721986
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCN3CCOCC3)nc21,5.850780887
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN2CCCCC2)cc1)c1ccccc1,7.148741651
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN(C)C)cc1)c1ccccc1,7.301029996
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN(C)C)cc1)c1ccccc1,7.086186148
Cc1cccc(C)c1-c1cc2cnc(N)nc2n(C)c1=O,5.207608311
CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)/c(=N/C(C)=O)n(C)c2n1,4.764471553
CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,6.638272164
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(S(C)(=O)=O)nc21,5.259637311
CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,6.096910013
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,6.075720714
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,5.657577319
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc4c(c3)OCO4)nc21,6.189767482
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,6.798602876
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCCCC(=O)OC(C)(C)C)nc21,5.065501549
Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,5.978810701
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,6.669586227
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCN3CCN(C)CC3)nc21,6.962573502
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(OC)cc3)nc21,6.557520231
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(OC)c(OC)c3)nc21,6.906578315
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cc(OC)c(OC)c(OC)c3)nc21,6.844663963
CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,6.554395797
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,6.913640169
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,6.251811973
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(C(=O)O)c3)nc21,6.958607315
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,7.060480747
CCn1c(=N)c(-c2cccs2)cc2cnc(Nc3ccccc3)nc21,5.974694135
CCn1c(=O)c(-c2cccs2)cc2cnc(Nc3ccccc3)nc21,4.236572006
Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(Cc3ccncc3)c2n1,6.013228266
CCn1c(=N)c(-c2ccccc2)cc2cnc(Nc3ccccc3)nc21,7.013228266
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC.Cl.O,6.27572413
CCN1CCC(n2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(Cl)cc3c2C)CC1,7
C=CC(=O)Nc1cc(N(C)CCOC)ccc1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)c3nccn3c2n1,7.301029996
C=CC(=O)Nc1cc(N2CCOCC2)c(C)cc1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)c3nccn3c2n1,7.301029996
C=CC(=O)Nc1cc(OC2CCCC2)ccc1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)c3nccn3c2n1,6.301029996
C=CC(=O)Nc1cccc(OC)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)c3nccn3c2n1,7.301029996
C=CC(=O)Nc1cccc(F)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)c3nccn3c2n1,7.301029996
C=CC(=O)Nc1cccc(F)c1Nc1ncc2cc(-c3c(F)c(OC)cc(OC)c3F)c3nccn3c2n1,6.301029996
C=CC(=O)Nc1cc(N2C[C@H](C)O[C@H](C)C2)ccc1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)c3nccn3c2n1,7.301029996
